C,n_iter,log(C),Mean,Error
10,100,1,0.9017,0.005085764446
100,100,2,0.9042,0.005090186637
1000,100,3,0.90495,0.004968400145
2000,100,3.301029996,0.9049,0.004941153711
5000,100,3.698970004,0.90485,0.004920873906
10000,100,4,0.905,0.004881085945
20000,100,4.301029996,0.9051,0.0048
50000,100,4.698970004,0.9051,0.004734448226
